itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
8679925,Green Apple Lemonade,,725,725,,0,0,0,0,0,0,0,0,Boba,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942, 18943]",[],,True
8679928,Taro Milk Tea,taro / ube extract / sugar cane / your choice of whole milk or oat milk,725,725,,0,0,0,0,0,0,0,0,Boba,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942, 18943]",[],,True
6196358,Grilled Portobello Mushroom Vegan Panini,"Focaccia bread, hummus spread, balsamic grilled Portobello mushroom, and grilled vegetables (zucchini, bell peppers, squash)",960,960,,230,11,7,28,4,4,0,240,Lunch Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-05-16 11:00:00,False
6196359,Ciabatta Caprese Sandwich,"Ciabatta bread, heirloom tomatoes, house-made basil sauce, and a balsamic drizzle.",960,960,,400,19,14,44,2,6,20,640,Lunch Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-05-16 11:00:00,True
6196361,Roast Beef Panini,"Focaccia bread, horseradish aioli, house-roasted tri-tip, white cheddar, pickled onions",1165,1165,,480,19,32,42,2,4,80,780,Lunch Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-05-16 11:00:00,False
6196363,Tuscan Roast Turkey Sandwich,"Ciabatta, thinly sliced turkey, crispy bacon, roasted peppers with herbs, olive oil, paprika, basil, red pepper flakes, sundried tomato spread, and Provolone cheese.",1165,1165,,410,18,31,33,4,2,65,1020,Lunch Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-05-16 11:00:00,True
6196357,Classic Chicken Caesar Salad,"Romaine hearts, Marys free-range diced chicken breast, grated parmesan, house-made seasoned croutons, and Caesar dressing",1165,1165,,440,28,23,20,4,5,55,1070,Lunch Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-05-16 11:00:00,True
6196362,Strawberry Arugula Salad with Feta Cheese,"Wild arugula, fresh local strawberries, feta cheese and a citrus vinaigrette",1065,1065,,280,26,6,9,3,5,25,400,Lunch Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-05-16 11:00:00,True
8679930,Rocky Road Cheesecake,"~LOCAL BAKERY~
Voyager Coffee Craft Coffee-Bake Shop
Cinco De Mayo Special
Mexican Sweet Bread/Cookie-Churro Flavor",525,525,,0,0,0,0,0,0,0,0,Fresh Bytes Dessert,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-04-03 11:00:00,False
8679931,Southern Hummingbird Bar,Flour sugar cinnamon oil baking soda banana pineapple cream cheese butter coconut�,495,495,,0,0,0,0,0,0,0,0,Fresh Bytes Dessert,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-03-08 12:00:00,False
8766524,Chocoflan Impossible Cake,Flour cocoa powder sugar butter egg cinnamon salt baking powder baking soda milk cream cream cheese vanilla,495,495,,0,0,0,0,0,0,0,0,Fresh Bytes Dessert,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-04-17 11:00:00,True
8766525,Key Lime Tart,flour sugar butter egg condensed milk cream Greek yogurt lime,495,495,,0,0,0,0,0,0,0,0,Fresh Bytes Dessert,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942]",[],2025-04-26 11:00:00,True
8766238,Chicken 65 with Cucumber Raita,"chicken, ginger, garlic, chili powder, turmeric, garam masala, yogurt, egg, rice flour, cornstarch, potato starch. Sauce: yogurt, cucumber, cilantro, onions, curry powder",1175,1175,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],2025-04-26 11:00:00,True
8766240,Grilled Lemon Asparagus with Pecorino,"asparagus, garlic, olive oil, lemon, salt, pepper, pecorino cheese",900,900,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],2025-05-08 11:00:00,True
8766241,Hot Cheetos Elote (street corn),"corn, mayonnaise, sour cream, lime, paprika, cheetos, parmesan cheese, cilantro",975,975,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],2025-05-13 11:00:00,True
8766242,Spicy Vegetarian Potstickers,"cabbage, carrots, garlic, onions, dried chilis, corn, shiitake mushroom,  shallots, oil, soy sauce, and black vinegar",1100,1100,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],2025-05-16 11:00:00,True
8766243,Wagyu Beef Burger Animal Style,"wagyu beef, brioche buns, american cheese, thousand island dressing, caramelized onions",1275,1275,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],2025-05-02 11:00:00,True
8766244,Watermelon & Tuna Poke,"tuna, watermelon, soy sauce, garlic, cucumber, fried green onions, edamame, yuzu
Side: Wonton chips",1275,1275,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],2025-05-06 11:00:00,True
8773396,House Made Chips,,400,400,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],,True
8782369,FB Special 1,,0,0,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],,False
8782370,FB Special 2,,0,0,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],,False
8782371,Spicy Chicken Bento with California Roll,Chicken All-purpose flour California sushi roll Mayonnaise Sriracha Ginger,1155,1155,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],2025-05-06 11:00:00,False
8766239,Cold Soba Noodle Salad,"soba noodles, cucumber, bell peppers, edamame, red cabbage, soft boiled egg, miso Vinaigrette, yuzu, pickled ginger.",850,850,,0,0,0,0,0,0,0,0,Fresh Bytes Food,DS23 SCDI Fresh Bytes Lunch M F MO,[18941],[],2025-04-18 11:00:00,True
8679939,Garlic Parmesan Chicken Wings,Party Wings/ Garlic/ Salt/ Pepper/ Butter/ Parmesan Cheese,1220,1220,,0,0,0,0,0,0,0,0,Fresh Bytes Dinner,,[18943],[],,True
8679940,Impossible Sloppy Joes,Ground Impossible/ Bell Peppers/ Onions/ Garlic/ Tomato Paste/ Ketchup/ Mushroom Stock/ Brown Sugar/ Chili Powder/ Worcestershire Sauce/ Tabasco/ Cole Slaw,950,950,,0,0,0,0,0,0,0,0,Fresh Bytes Dinner,,[18943],[],,True
8679941,Pav Bhaji,Butter/ Onions/ Tomatoes/ Russet Potato/ Green Peas/ Carrots/ Cauliflower/ Bell Peppers/ Garlic/ Pav Bhaji Masala/ Chili Powder/ Cilantro/ Hawaiian Rolls. Garnish: Red Onions/ Lime,890,890,,0,0,0,0,0,0,0,0,Fresh Bytes Dinner,,[18943],[],,True
8679942,Ube Cream Puff,,395,395,,0,0,0,0,0,0,0,0,Fresh Bytes Dinner,,[18943],[],,True
8679943,Vanilla Marshmallows Milkshake,,700,700,,0,0,0,0,0,0,0,0,Fresh Bytes Dinner,,[18943],[],,True
8679944,Wagyu Beef Sliders w Bacon Jam Cheddar,Wagyu Beef/ Brioche Buns/ Mild Cheddar Cheese/ Thousand Island Dressing/ Bacon/ Coffee/ Brown Sugar/ Garlic/ Salt/ Pepper,1257,1257,,0,0,0,0,0,0,0,0,Fresh Bytes Dinner,,[18943],[],,True
