restaurant,itemid,option_group,max_select,value,value_price_c
mobileorderprodapi.transactcampus.com,8674788,Options - Value Menu,50,Sour Cream,50
mobileorderprodapi.transactcampus.com,8674795,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,8674795,Tortilla,1,Whole Wheat Tortilla,0
mobileorderprodapi.transactcampus.com,8674795,Options - Value Menu,50,Black Beans,0
mobileorderprodapi.transactcampus.com,8674795,Options - Value Menu,50,Guacamole,195
mobileorderprodapi.transactcampus.com,8674795,Options - Value Menu,50,Pinto Beans,0
mobileorderprodapi.transactcampus.com,8674795,Options - Value Menu,50,Sauteed Onions and Peppers,0
mobileorderprodapi.transactcampus.com,8674795,Options - Value Menu,50,Sour Cream,50
mobileorderprodapi.transactcampus.com,6171215,Drink Size,1,Tall,525
mobileorderprodapi.transactcampus.com,6171215,Drink Size,1,Grande,555
mobileorderprodapi.transactcampus.com,6171215,Drink Size,1,Venti,605
mobileorderprodapi.transactcampus.com,6171215,Temperature options,1,Iced,0
mobileorderprodapi.transactcampus.com,6171215,Temperature options,1,Hot,0
mobileorderprodapi.transactcampus.com,6171215,Milk Options,1,Low fat Milk,0
mobileorderprodapi.transactcampus.com,6171215,Milk Options,1,Nonfat Milk,0
mobileorderprodapi.transactcampus.com,6171215,Milk Options,1,Whole Milk,0
mobileorderprodapi.transactcampus.com,6171215,Milk Options,1,Soy Milk,70
mobileorderprodapi.transactcampus.com,6171215,Milk Options,1,Oat Milk,70
mobileorderprodapi.transactcampus.com,6171215,Milk Options,1,Almond Milk,70
mobileorderprodapi.transactcampus.com,6171215,Milk Options,1,Coconut Milk,70
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Vanilla Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Strawberry Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Sugar Free Vanilla Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Caramel Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Peppermint Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Toffee Nut Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Praline Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Lavender Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Raspberry Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Coconut Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Syrup Options,2,Classic Syrup,94
mobileorderprodapi.transactcampus.com,6171215,Sauce Options,50,Caramel Sauce,94
mobileorderprodapi.transactcampus.com,6171215,Sauce Options,50,Dark Chocolate,94
mobileorderprodapi.transactcampus.com,6171215,Sauce Options,50,White Chocolate,94
mobileorderprodapi.transactcampus.com,6171215,Add-ons,1,1 Espresso Shot,116
mobileorderprodapi.transactcampus.com,6171215,Add-ons,1,2 Espresso Shots,232
mobileorderprodapi.transactcampus.com,6171212,Drink Size,1,Tall,425
mobileorderprodapi.transactcampus.com,6171212,Drink Size,1,Grande,455
mobileorderprodapi.transactcampus.com,6171212,Drink Size,1,Venti,525
mobileorderprodapi.transactcampus.com,6171212,Decaf Option,1,Caffeinated,0
mobileorderprodapi.transactcampus.com,6171212,Decaf Option,1,Decaf,0
mobileorderprodapi.transactcampus.com,6171212,Temperature options,1,Iced,0
mobileorderprodapi.transactcampus.com,6171212,Temperature options,1,Hot,0
mobileorderprodapi.transactcampus.com,6171212,Milk Options,1,Low fat Milk,0
mobileorderprodapi.transactcampus.com,6171212,Milk Options,1,Nonfat Milk,0
mobileorderprodapi.transactcampus.com,6171212,Milk Options,1,Whole Milk,0
mobileorderprodapi.transactcampus.com,6171212,Milk Options,1,Soy Milk,70
mobileorderprodapi.transactcampus.com,6171212,Milk Options,1,Oat Milk,70
mobileorderprodapi.transactcampus.com,6171212,Milk Options,1,Almond Milk,70
mobileorderprodapi.transactcampus.com,6171212,Milk Options,1,Coconut Milk,70
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Vanilla Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Strawberry Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Sugar Free Vanilla Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Caramel Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Peppermint Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Toffee Nut Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Praline Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Lavender Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Raspberry Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Coconut Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Syrup Options,2,Classic Syrup,94
mobileorderprodapi.transactcampus.com,6171212,Sauce Options,50,Caramel Sauce,94
mobileorderprodapi.transactcampus.com,6171212,Sauce Options,50,Dark Chocolate,94
mobileorderprodapi.transactcampus.com,6171212,Sauce Options,50,White Chocolate,94
mobileorderprodapi.transactcampus.com,6171212,Add-ons,1,1 Espresso Shot,116
mobileorderprodapi.transactcampus.com,6171212,Add-ons,1,2 Espresso Shots,232
mobileorderprodapi.transactcampus.com,6171223,Drink Size,1,Tall,405
mobileorderprodapi.transactcampus.com,6171223,Drink Size,1,Grande,425
mobileorderprodapi.transactcampus.com,6171223,Drink Size,1,Venti,505
mobileorderprodapi.transactcampus.com,6171223,Iced Tea Options,1,Black Tea,0
mobileorderprodapi.transactcampus.com,6171223,Iced Tea Options,1,Green Tea,0
mobileorderprodapi.transactcampus.com,6171223,Iced Tea Options,1,Passion Tea,0
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Strawberry Syrup,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Classic Syrup,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Lavender,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Raspberry,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Mango,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Peach,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Passion Fruit Syrup,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Coconut Syrup,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Mojito Mix Syrup,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Guava,94
mobileorderprodapi.transactcampus.com,6171223,Syrup Options,2,Lime Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Drink Size,1,Tall,525
mobileorderprodapi.transactcampus.com,6171213,Drink Size,1,Grande,575
mobileorderprodapi.transactcampus.com,6171213,Drink Size,1,Venti,625
mobileorderprodapi.transactcampus.com,6171213,Decaf Option,1,Caffeinated,0
mobileorderprodapi.transactcampus.com,6171213,Decaf Option,1,Decaf,0
mobileorderprodapi.transactcampus.com,6171213,Temperature options,1,Iced,0
mobileorderprodapi.transactcampus.com,6171213,Temperature options,1,Hot,0
mobileorderprodapi.transactcampus.com,6171213,Milk Options,1,Low fat Milk,0
mobileorderprodapi.transactcampus.com,6171213,Milk Options,1,Nonfat Milk,0
mobileorderprodapi.transactcampus.com,6171213,Milk Options,1,Whole Milk,0
mobileorderprodapi.transactcampus.com,6171213,Milk Options,1,Soy Milk,70
mobileorderprodapi.transactcampus.com,6171213,Milk Options,1,Oat Milk,70
mobileorderprodapi.transactcampus.com,6171213,Milk Options,1,Almond Milk,70
mobileorderprodapi.transactcampus.com,6171213,Milk Options,1,Coconut Milk,70
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Vanilla Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Strawberry Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Sugar Free Vanilla Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Caramel Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Peppermint Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Toffee Nut Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Praline Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Lavender Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Raspberry Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Coconut Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Syrup Options,2,Classic Syrup,94
mobileorderprodapi.transactcampus.com,6171213,Sauce Options,50,Caramel Sauce,94
mobileorderprodapi.transactcampus.com,6171213,Sauce Options,50,Dark Chocolate,94
mobileorderprodapi.transactcampus.com,6171213,Sauce Options,50,White Chocolate,94
