restaurant,itemid,scheduleid,section,section_schedule_name
mobileorderprodapi.transactcampus.com,6200627,14911,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6200627,14912,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8438152,14911,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8438152,14912,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8438153,14911,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8438153,14912,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8484441,14911,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8484441,14912,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6200622,14911,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6200622,14912,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6200625,14911,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6200625,14912,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6200619,14911,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6200619,14912,Breakfast GNG,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8300297,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8300297,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8300298,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8300298,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8300299,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8300299,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8643879,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8643879,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8643880,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8643880,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8691732,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8691732,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8691733,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8691733,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
